Estacion;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
LA QUIACA OBS.;6.9;7.1;6.5;6.4;6.0;4.9;6.6;6.6;8.6;8.7;8.8;8.3
ORÊN AERO;8.4;8.4;6.9;6.4;6.2;6.8;7.7;8.2;9.1;9.2;9.6;8.6
TARTAGAL AERO;6.1;5.9;5.2;4.7;4.6;4.6;5.6;6.7;7.3;8.1;8.6;7.1
JUJUY AERO;8.2;8.3;7.3;7.1;7.4;7.3;9.2;10.3;11.0;10.7;10.2;8.9
SALTA AERO;6.8;6.5;5.8;5.8;6.3;6.1;6.9;7.5;7.9;9.0;8.7;7.7
LAS LOMITAS;5.4;7.0;6.0;5.9;5.8;5.3;6.9;8.6;8.7;9.4;9.9;8.2
IGUAZÇ AERO;6.4;6.3;5.3;6.1;6.4;6.2;7.4;8.4;8.8;7.4;7.5;6.6
TUCUMÊN AERO;11.6;11.3;10.0;9.6;9.4;9.7;10.7;11.2;11.8;12.2;12.0;11.1
SANTIAGO DEL ESTERO AERO;9.2;9.2;8.6;7.8;7.3;7.1;8.2;9.0;10.2;11.6;10.9;10.0
RESISTENCIA AERO;10.1;10.5;9.9;9.8;9.8;10.0;11.2;12.7;13.8;13.4;12.5;10.7
FORMOSA AERO;11.8;11.9;11.2;11.5;11.6;11.9;13.1;14.4;14.9;14.9;14.4;13.0
CORRIENTES AERO;11.9;12.2;11.8;11.9;11.9;12.1;13.4;14.6;15.5;15.7;14.1;12.5
POSADAS AERO;9.1;9.1;8.6;8.7;9.0;8.9;10.1;10.9;11.0;11.0;10.4;9.6
TINOGASTA;5.9;5.2;6.6;4.2;4.3;4.4;4.6;5.9;5.4;6.4;6.5;6.2
CATAMARCA AERO;20.9;18.9;17.0;14.2;11.7;9.5;10.9;14.8;18.6;22.4;22.5;21.9
VILLA MARôA DEL RôO SECO;6.2;5.7;5.2;5.3;5.2;5.3;5.7;6.8;7.6;8.8;8.6;7.1
CERES AERO;10.2;10.6;10.7;9.8;10.3;10.2;12.0;14.1;14.6;15.1;13.8;11.9
RECONQUISTA AERO;11.5;12.0;11.7;10.6;10.8;10.7;12.6;14.4;15.0;15.5;14.0;12.3
